label;cv_fold;time;percentage;R2;RMSE;test_monomerA
0;4;422;0.1;0.324017696;0.199636803;[*:1]c1ccc([*:2])c2nsnc12
0;4;422;0.2;0.628440791;0.148008602;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.01;0.617672427;0.239038521;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.02;0.80886396;0.169013492;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.04;0.844364313;0.152512232;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.1;0.936927982;0.097088646;[*:1]c1ccc([*:2])c2nsnc12
1;4;422;0.2;0.962584842;0.074778005;[*:1]c1ccc([*:2])c2nsnc12
0;5;42;0.01;-0.003922326;0.618169181;[*:1]c1ccc([*:2])cc1
0;5;42;0.02;0.016891737;0.611727446;[*:1]c1ccc([*:2])cc1
0;5;42;0.04;0.330739471;0.504725096;[*:1]c1ccc([*:2])cc1
0;5;42;0.1;0.564793989;0.407009677;[*:1]c1ccc([*:2])cc1
0;5;42;0.2;0.861391932;0.229695003;[*:1]c1ccc([*:2])cc1
1;5;42;0.01;0.598354303;0.269698814;[*:1]c1ccc([*:2])cc1
1;5;42;0.02;0.799507879;0.190548762;[*:1]c1ccc([*:2])cc1
1;5;42;0.04;0.786645023;0.196566211;[*:1]c1ccc([*:2])cc1
1;5;42;0.1;0.779343044;0.199901608;[*:1]c1ccc([*:2])cc1
1;5;42;0.2;0.923892149;0.117401111;[*:1]c1ccc([*:2])cc1
0;5;421;0.01;0.605693853;0.38741289;[*:1]c1ccc([*:2])cc1
0;5;421;0.02;0.525506287;0.424983945;[*:1]c1ccc([*:2])cc1
0;5;421;0.04;0.617226152;0.381705504;[*:1]c1ccc([*:2])cc1
0;5;421;0.1;0.821808077;0.26043617;[*:1]c1ccc([*:2])cc1
0;5;421;0.2;0.916957024;0.177790579;[*:1]c1ccc([*:2])cc1
1;5;421;0.01;0.638098485;0.256007494;[*:1]c1ccc([*:2])cc1
1;5;421;0.02;0.653808133;0.250389382;[*:1]c1ccc([*:2])cc1
1;5;421;0.04;0.818277902;0.181410052;[*:1]c1ccc([*:2])cc1
1;5;421;0.1;0.874606405;0.15069372;[*:1]c1ccc([*:2])cc1
1;5;421;0.2;0.948562965;0.096515139;[*:1]c1ccc([*:2])cc1
0;5;422;0.01;-0.679961522;0.799662923;[*:1]c1ccc([*:2])cc1
0;5;422;0.02;0.076801957;0.592795271;[*:1]c1ccc([*:2])cc1
0;5;422;0.04;0.41567142;0.471613097;[*:1]c1ccc([*:2])cc1
0;5;422;0.1;0.786462595;0.285098067;[*:1]c1ccc([*:2])cc1
0;5;422;0.2;0.885083352;0.209145617;[*:1]c1ccc([*:2])cc1
1;5;422;0.01;0.654621365;0.250095117;[*:1]c1ccc([*:2])cc1
1;5;422;0.02;0.78396986;0.1977947;[*:1]c1ccc([*:2])cc1
1;5;422;0.04;0.857549324;0.160616343;[*:1]c1ccc([*:2])cc1
1;5;422;0.1;0.919432814;0.120791556;[*:1]c1ccc([*:2])cc1
1;5;422;0.2;0.950160316;0.095004706;[*:1]c1ccc([*:2])cc1
0;6;42;0.01;0.40868998;0.382291143;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
0;6;42;0.02;0.766716666;0.240120077;[*:1]c1ccc2c(c1)C(C)(C)c1cc([*:2])ccc1-2
